"ID","lon","lat","ele","time"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909234241,12.1065701544,"4.46","2021-06-29T20:51:46Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909295429,12.1065664664,"3.50","2021-06-29T20:51:52Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909252681,12.1065756027,"2.06","2021-06-29T20:52:00Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.290914204,12.1065765247,"3.50","2021-06-29T20:52:03Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.290908169,12.1065792907,"5.42","2021-06-29T20:52:06Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909082528,12.1065794583,"7.83","2021-06-29T20:52:11Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.290911857,12.1065644547,"8.79","2021-06-29T20:52:20Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.290897524,12.10658147,"7.83","2021-06-29T20:52:31Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908976916,12.1065905225,"7.83","2021-06-29T20:52:39Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2908936683,12.1066039335,"7.35","2021-06-29T20:52:48Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.290890567,12.1066195238,"3.50","2021-06-29T20:52:57Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.290889645,12.1066165902,"2.06","2021-06-29T20:53:00Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909140363,12.1066044364,"5.42","2021-06-29T20:53:06Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909173053,12.1066072024,"5.42","2021-06-29T20:53:07Z"
"CCAP_2021-06-29_171218_Krista_Baseline_1530-1800.gpx",-68.2909366675,12.1066175122,"5.42","2021-06-29T20:53:18Z"
