id,Species,Date,Time,Observer,SpawnPeriod,TimeFrame,HR
CCAP_2021.06.29_171218_Krista_Baseline_1530.1800.gpx,CCAP,2021.06.29,171218,Krista,Baseline,1530.1800.gpx,135.581038983881
CCAP_2021.06.29_173609_Krista_Baseline_1530.1800.gpx,CCAP,2021.06.29,173609,Krista,Baseline,1530.1800.gpx,137.139441730822
CCAP_2021.06.30_154606_Krista_Baseline_1530.1800.gpx,CCAP,2021.06.30,154606,Krista,Baseline,1530.1800.gpx,87.270553828705
CCAP_2021.06.30_161225_Krista_Baseline_1530.1800.gpx,CCAP,2021.06.30,161225,Krista,Baseline,1530.1800.gpx,115.321803273646
CCAP_2021.06.30_163611_Krista_Baseline_1530.1800.gpx,CCAP,2021.06.30,163611,Krista,Baseline,1530.1800.gpx,228.30600242688
CCAP_2021.07.02_162009_Krista_Baseline_1530.1800.gpx,CCAP,2021.07.02,162009,Krista,Baseline,1530.1800.gpx,125.451421128763
CCAP_2021.07.02_164545_Krista_Baseline_1530.1800.gpx,CCAP,2021.07.02,164545,Krista,Baseline,1530.1800.gpx,166.749093922704
CCAP_2021.07.02_171051_Krista_Baseline_1530.1800.gpx,CCAP,2021.07.02,171051,Krista,Baseline,1530.1800.gpx,106.750588165469
CCAP_2021.07.05_162404_Lena_Prespawning_1530.1800.gpx,CCAP,2021.07.05,162404,Lena,Prespawning,1530.1800.gpx,187.78753100641
CCAP_2021.07.05_162551_Krista_Prespawning_1530.1800.gpx,CCAP,2021.07.05,162551,Krista,Prespawning,1530.1800.gpx,109.088192285881
CCAP_2021.07.05_165006_Krista_Prespawning_1530.1800.gpx,CCAP,2021.07.05,165006,Krista,Prespawning,1530.1800.gpx,188.56673237988
CCAP_2021.07.05_170334_Lena_Prespawning_1530.1800.gpx,CCAP,2021.07.05,170334,Lena,Prespawning,1530.1800.gpx,158.177878814528
CCAP_2021.07.06_161840_Krista_Prespawning_1530.1800.gpx,CCAP,2021.07.06,161840,Krista,Prespawning,1530.1800.gpx,173.761906283939
CCAP_2021.07.06_162101_Lena_Prespawning_1530.1800.gpx,CCAP,2021.07.06,162101,Lena,Prespawning,1530.1800.gpx,167.528295296175
CCAP_2021.07.06_164410_Krista_Prespawning_1530.1800.gpx,CCAP,2021.07.06,164410,Krista,Prespawning,1530.1800.gpx,180.774718645175
CCAP_2021.07.06_164950_Lena_Prespawning_1530.1800.gpx,CCAP,2021.07.06,164950,Lena,Prespawning,1530.1800.gpx,189.345933753351
CCAP_2021.07.06_180513_Lena_SpawningPeak_1800.1900.gpx,CCAP,2021.07.06,180513,Lena,SpawningPeak,1800.1900.gpx,797.902206433874
CCAP_2021.07.06_180541_Krista_SpawningPeak_1800.1900.gpx,CCAP,2021.07.06,180541,Krista,SpawningPeak,1800.1900.gpx,544.661760055936
CCAP_2021.07.06_182839_Krista_SpawningPeak_1800.1900.gpx,CCAP,2021.07.06,182839,Krista,SpawningPeak,1800.1900.gpx,345.965409820938
CCAP_2021.07.06_183139_Lena_SpawningPeak_1800.1900.gpx,CCAP,2021.07.06,183139,Lena,SpawningPeak,1800.1900.gpx,515.831309237524
CCAP_2021.07.07_180901_Krista_SpawningCusp_1800.1900.gpx,CCAP,2021.07.07,180901,Krista,SpawningCusp,1800.1900.gpx,312.459750761703
CCAP_2021.07.07_180901_Lena_SpawningCusp_1800.1900.gpx,CCAP,2021.07.07,180901,Lena,SpawningCusp,1800.1900.gpx,248.565238137115
CCAP_2021.07.07_183151_Krista_SpawningCusp_1800.1900.gpx,CCAP,2021.07.07,183151,Krista,SpawningCusp,1800.1900.gpx,166.749093922704
CCAP_2021.07.07_183220_Lena_SpawningCusp_1800.1900.gpx,CCAP,2021.07.07,183220,Lena,SpawningCusp,1800.1900.gpx,206.488363969704
